Piazzata,Chiuse,Dettagli,Tipo,Quota,Puntata (€),Responsabilità (€),Profitto/Perdita,Stato
11-feb-26 20:38:33,11-feb-26 22:26:00,"Giana Erminio - Lecco Under 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418160903831 | ID Scommessa AdM bc0000000062a508ad08",Punta,1.41,"5,00", -- ," 2,05 ",Vinta
11-feb-26 20:46:19,11-feb-26 22:24:47,"Arzignanochiampo - A.C. Trento S.C.S.D. Under 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418162501087 | ID Scommessa AdM bc0000000023d533e10a",Punta,1.61,"1,63", -- ," 0,99 ",Vinta
11-feb-26 21:01:43,11-feb-26 22:24:22,Aurora Pro Patria 1919 - Cittadella Cittadella-Esito Finale | ID scommessa Betfair 1:418165850106 | ID Scommessa AdM bc000000004074270709,Punta,2.20,"4,00", -- ," -4,00 ",Persa
11-feb-26 20:36:31,11-feb-26 22:23:55,"Lugano - Servette Under 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418160514203 | ID Scommessa AdM bc0000000062a4d33208",Punta,1.78,"5,00", -- ," 3,90 ",Vinta
11-feb-26 21:14:13,11-feb-26 22:23:27,"Manchester City - Fulham Over 3,5 goal-Over/Under 3,5 gol | ID scommessa Betfair 1:418168861854 | ID Scommessa AdM bc0000000023d8cfda0a",Punta,1.85,"9,50", -- ," -9,50 ",Persa
11-feb-26 21:49:18,11-feb-26 22:21:16,Nottingham Forest - Wolves Nottingham Forest-Esito Finale | ID scommessa Betfair 1:418175506696 | ID Scommessa AdM bc0000000023dc7eaa0a,Punta,2.08,"7,00", -- ," -7,00 ",Persa
11-feb-26 21:59:26,11-feb-26 22:14:35,"Velež Mostar - Siroki Brijeg Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418177189388 | ID Scommessa AdM bc0000000062ae21bf08",Punta,1.87,"7,00", -- ," 6,06 ",Vinta
11-feb-26 20:03:50,11-feb-26 21:56:57,Avellino - Frosinone Frosinone-Esito Finale | ID scommessa Betfair 1:418155436209 | ID Scommessa AdM bc0000000062a23dec08,Punta,2.20,"6,00", -- ," 7,20 ",Vinta
11-feb-26 20:03:26,11-feb-26 21:54:17,Empoli - Juve Stabia Pareggio o ospite-Doppia Chance | ID scommessa Betfair 1:418155385852 | ID Scommessa AdM bc0000000062a2384d08,Punta,1.62,"7,00", -- ," 4,34 ",Vinta
11-feb-26 20:03:42,11-feb-26 21:54:07,Bari - Spezia Pareggio o ospite-Doppia Chance | ID scommessa Betfair 1:418155419787 | ID Scommessa AdM bc0000000023d1800c0a,Punta,1.45,"5,50", -- ," 2,48 ",Vinta
11-feb-26 21:38:24,11-feb-26 21:50:12,"Grotta - IA Akranes Over 3,5 goal-Over/Under 3,5 gol | ID scommessa Betfair 1:418173575357 | ID Scommessa AdM bc0000000023db74740a",Punta,1.86,"4,00", -- ," 3,44 ",Vinta
11-feb-26 20:09:44,11-feb-26 21:48:39,FC Black Stars - FC Basel II FC Black Stars-Esito Finale | ID scommessa Betfair 1:418156329469 | ID Scommessa AdM bc0000000023d1f09a0a,Punta,1.65,"5,00", -- ," 3,25 ",Vinta
11-feb-26 20:04:22,11-feb-26 21:26:41,"Grotta - IA Akranes Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418155525491 | ID Scommessa AdM bc0000000023d1909c0a",Punta,1.28,"6,00", -- ," 1,68 ",Vinta
